#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_9w.pdb 0.016 34.986 15.240 0.02710 Incorrect Incorrect
allpdb0336_4_161w.pdb 0.011 37.880 17.125 0.02206 Incorrect Incorrect
allpdb0336_4_196w.pdb 0.005 37.208 16.622 0.02100 Incorrect Incorrect
allpdb0336_4_173w.pdb 0.005 37.685 16.903 0.02051 Incorrect Incorrect
allpdb0336_4_195w.pdb 0.005 37.554 16.777 0.02066 Incorrect Incorrect
allpdb0336_4_120w.pdb 0.016 35.137 15.954 0.02667 Incorrect Incorrect
allpdb0336_4_150w.pdb 0.005 36.974 16.461 0.02125 Incorrect Incorrect
allpdb0336_4_138w.pdb 0.005 37.044 16.655 0.02113 Incorrect Incorrect
allpdb0336_4_103w.pdb 0.005 37.065 16.579 0.02113 Incorrect Incorrect
allpdb0336_4_192w.pdb 0.005 37.656 16.890 0.02054 Incorrect Incorrect
allpdb0336_4_178w.pdb 0.005 37.037 16.524 0.02118 Incorrect Incorrect
allpdb0336_4_88w.pdb 0.005 37.339 16.863 0.02081 Incorrect Incorrect
allpdb0336_4_42w.pdb 0.016 34.730 15.713 0.02717 Incorrect Incorrect
allpdb0336_4_184w.pdb 0.005 37.052 16.581 0.02114 Incorrect Incorrect
allpdb0336_4_169w.pdb 0.005 37.316 16.675 0.02089 Incorrect Incorrect
allpdb0336_4_111w.pdb 0.005 37.221 16.715 0.02096 Incorrect Incorrect
allpdb0336_4_176w.pdb 0.005 37.324 16.725 0.02087 Incorrect Incorrect
allpdb0336_4_92w.pdb 0.005 37.927 17.045 0.02028 Incorrect Incorrect
allpdb0336_4_113w.pdb 0.016 35.916 15.701 0.02601 Incorrect Incorrect
allpdb0336_4_81w.pdb 0.016 35.295 15.761 0.02658 Incorrect Incorrect
allpdb0336_4_102w.pdb 0.011 35.170 15.807 0.02492 Incorrect Incorrect
allpdb0336_4_156w.pdb 0.016 34.889 15.713 0.02701 Incorrect Incorrect
