#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_80w.pdb 0.394 3.877 1.604 0.56292 Medium Medium
allpdb0089_10_34w.pdb 0.406 4.472 2.003 0.51604 Medium Medium
allpdb0089_10_72w.pdb 0.411 2.864 1.392 0.61549 Medium Medium
allpdb0089_10_191w.pdb 0.422 3.299 1.581 0.58840 Medium Medium
allpdb0089_10_20w.pdb 0.439 3.107 1.375 0.62150 Medium Medium
allpdb0089_10_128w.pdb 0.372 3.367 1.480 0.58113 Medium Medium
allpdb0089_10_67w.pdb 0.394 4.517 1.642 0.54304 Medium Medium
allpdb0089_10_168w.pdb 0.422 4.557 1.887 0.52876 Medium Medium
allpdb0089_10_129w.pdb 0.378 3.041 1.398 0.59981 Medium Medium
allpdb0089_10_115w.pdb 0.417 4.028 1.684 0.55861 Medium Medium
allpdb0089_10_100w.pdb 0.406 3.796 1.410 0.59009 Medium Medium
allpdb0089_10_114w.pdb 0.411 3.966 1.610 0.56571 Medium Medium
allpdb0089_10_165w.pdb 0.372 4.344 1.760 0.52865 Medium Medium
allpdb0089_10_23w.pdb 0.406 4.649 1.631 0.54454 Medium Medium
allpdb0089_10_157w.pdb 0.372 4.655 1.624 0.53397 Medium Medium
allpdb0089_10_62w.pdb 0.406 3.554 1.590 0.57589 Medium Medium
allpdb0089_10_25w.pdb 0.383 4.875 1.728 0.52188 Medium Medium
allpdb0089_10_52w.pdb 0.367 4.796 1.757 0.51560 Medium Medium
allpdb0089_10_68w.pdb 0.389 3.424 1.400 0.59459 Medium Medium
allpdb0089_10_119w.pdb 0.356 4.596 1.711 0.52128 Medium Medium
allpdb0089_10_197w.pdb 0.422 3.782 1.518 0.58370 Medium Medium
allpdb0089_10_162w.pdb 0.367 4.120 1.567 0.55156 Medium Medium
allpdb0089_10_45w.pdb 0.394 4.079 1.634 0.55483 Medium Medium
allpdb0089_10_91w.pdb 0.406 4.842 1.880 0.51653 Medium Medium
allpdb0089_10_63w.pdb 0.344 4.183 1.651 0.53390 Medium Medium
allpdb0089_10_73w.pdb 0.361 4.208 1.681 0.53580 Medium Medium
allpdb0089_10_110w.pdb 0.367 3.240 1.758 0.55366 Medium Medium
allpdb0089_10_140w.pdb 0.356 4.279 1.536 0.54713 Medium Medium
allpdb0089_10_125w.pdb 0.383 4.664 1.799 0.52071 Medium Medium
allpdb0089_10_188w.pdb 0.378 4.020 1.642 0.55001 Medium Medium
allpdb0089_10_35w.pdb 0.372 4.833 1.813 0.51140 Medium Medium
allpdb0089_10_16w.pdb 0.361 4.675 1.748 0.51762 Medium Medium
allpdb0089_10_167w.pdb 0.367 3.282 1.484 0.58076 Medium Medium
